neighbourhood_group_encoded,neighbourhood_encoded,room_type_encoded,price_category,minimum_nights,number_of_reviews
0,193,1,medium,30,59
2,12,0,medium,7,63
0,122,1,medium,2,52
0,16,1,low,1,278
2,18,0,high,5,1
2,12,0,low,2,35
1,174,1,low,5,235
0,190,0,medium,28,115
0,16,1,low,1,109
0,78,1,high,5,1
2,12,0,medium,3,305
0,190,0,medium,1,102
0,122,0,medium,30,83
3,54,1,low,1,19
0,218,1,medium,2,61
0,44,0,high,5,89
3,151,1,low,30,65
2,109,0,high,1,40
0,114,1,medium,30,80
0,218,0,medium,30,136
0,3,0,high,3,100
2,124,0,medium,2,125
2,203,0,high,5,40
0,16,0,medium,4,0
0,77,0,medium,30,139
0,56,0,high,30,0
0,193,0,high,7,2
3,205,0,low,28,49
0,3,0,medium,5,8
0,55,0,high,1,0
2,45,1,low,5,124
2,166,0,low,21,5
2,158,1,low,1,147
2,211,1,high,1,43
2,12,0,medium,6,8
0,114,0,high,2,37
2,211,1,high,1,120
2,124,0,medium,1,24
2,12,0,high,3,5
2,124,0,medium,30,242
0,53,1,low,4,229
1,101,1,low,2,108
2,12,0,medium,2,181
0,208,0,high,5,34
2,123,1,low,3,5
0,55,0,medium,1,5
3,5,0,low,4,60
0,3,0,medium,1,238
2,82,0,medium,3,34
0,114,0,high,3,131
0,114,0,high,4,6
0,83,1,medium,60,4
2,12,1,medium,1,7
2,124,0,high,5,125
2,123,1,medium,3,0
0,193,0,medium,1,49
0,44,1,medium,1,11
0,44,0,high,5,0
0,56,0,high,3,107
2,124,1,medium,2,241
0,17,1,medium,1,176
0,193,1,medium,4,151
0,190,0,high,3,49
2,18,0,low,120,13
2,82,0,medium,3,33
2,82,0,medium,3,24
2,82,0,medium,3,59
2,95,1,low,1,2
0,17,0,medium,2,16
0,44,1,low,2,72
2,82,0,medium,3,24
2,82,0,medium,3,23
2,82,0,medium,3,43
2,82,0,medium,3,30
2,82,0,medium,3,39
2,82,1,high,3,8
2,82,1,high,3,3
2,82,1,high,3,6
2,82,1,medium,3,4
3,165,1,low,5,56
2,82,1,high,3,7
2,211,0,medium,1,2
2,116,0,high,2,178
2,124,1,low,30,30
2,12,0,medium,2,190
0,66,0,high,7,25
3,59,0,low,10,81
0,208,0,high,2,7
2,110,1,low,4,216
2,12,0,medium,30,31
2,216,1,low,90,53
2,124,1,low,3,247
2,211,0,medium,3,233
2,107,0,medium,3,135
3,217,1,low,4,20
0,114,0,high,4,46
0,208,0,medium,365,10
0,44,1,low,1,143
4,33,0,high,2,21
4,33,1,low,7,0
4,33,0,medium,2,8
2,45,0,low,7,4
0,84,0,medium,2,314
2,12,0,medium,3,18
0,114,0,medium,7,11
0,111,1,medium,7,51
0,208,1,low,5,20
0,114,0,high,7,8
0,3,0,medium,31,59
2,150,0,low,4,54
0,3,1,low,5,10
0,114,0,high,4,153
2,45,0,medium,3,110
0,16,1,low,2,69
0,44,0,medium,1,1
2,124,0,medium,180,24
3,59,1,low,2,95
0,17,0,high,2,129
0,187,1,low,7,171
2,123,1,low,2,20
2,216,1,low,90,17
0,75,0,high,5,8
0,84,0,high,7,11
0,66,0,high,5,5
2,124,0,medium,4,0
0,17,0,medium,30,36
0,17,0,medium,30,16
2,45,0,medium,15,5
0,208,0,high,4,0
0,3,0,medium,4,68
0,48,0,medium,28,89
0,111,1,low,30,10
3,14,1,low,1,38
1,106,1,low,2,15
2,74,1,low,2,20
0,190,1,low,3,25
0,44,0,medium,2,35
2,124,0,high,30,1
0,208,0,high,3,64
2,123,1,low,3,26
3,151,1,low,2,244
2,116,1,low,15,21
3,167,1,low,2,270
2,12,1,low,10,16
0,16,0,high,3,24
2,124,1,medium,1,30
2,124,1,low,2,5
2,166,0,low,4,115
2,12,1,low,5,9
2,12,1,low,5,45
0,218,0,medium,365,19
0,84,0,high,3,5
0,56,0,medium,2,203
0,83,0,low,122,20
0,16,0,high,3,49
2,82,1,low,4,6
2,45,0,low,5,7
2,124,1,low,2,35
0,114,0,high,5,28
0,190,1,high,6,0
0,44,1,low,2,54
2,116,0,medium,3,115
2,211,0,medium,5,6
0,84,0,medium,15,1
2,12,0,medium,3,204
2,18,0,medium,180,1
2,158,0,high,3,89
0,44,1,low,6,130
2,82,1,low,7,15
0,16,0,medium,30,52
2,166,0,low,6,58
0,190,1,low,3,208
3,42,1,low,5,3
0,114,0,high,30,7
2,123,1,low,1,1
0,44,0,high,3,2
2,12,0,high,4,122
2,12,0,medium,3,63
2,123,0,high,5,26
0,114,0,high,27,1
2,82,0,medium,5,14
0,44,1,medium,1,107
2,74,0,low,30,3
0,193,0,low,3,107
2,12,1,low,3,29
2,13,0,low,6,69
2,107,1,medium,3,232
2,216,1,low,7,0
0,16,0,medium,7,24
2,124,0,high,7,0
2,124,0,medium,19,5
0,122,0,medium,3,10
2,109,1,low,4,36
0,114,0,high,5,94
0,16,1,high,6,1
0,208,0,high,1,63
2,116,1,low,15,5
2,123,0,medium,3,238
0,44,1,low,2,101
2,12,0,medium,3,21
0,122,0,medium,2,72
2,12,0,high,2,40
2,110,0,medium,3,103
2,124,0,medium,6,66
2,45,0,medium,3,35
2,99,0,high,31,121
0,16,0,medium,8,15
2,99,0,medium,2,13
0,16,0,high,2,129
0,114,0,high,20,157
0,78,0,high,5,8
3,151,1,low,2,5
2,82,0,high,4,46
0,193,0,medium,30,37
0,17,0,high,7,14
2,123,0,medium,5,37
3,42,0,low,5,1
0,114,1,low,3,209
0,122,0,medium,3,4
2,116,1,low,60,17
2,123,0,medium,5,0
0,44,0,medium,1,0
2,124,0,medium,4,54
2,82,0,medium,3,43
3,42,0,medium,3,7
2,82,0,medium,3,75
0,17,0,medium,1,88
2,82,0,medium,3,73
2,82,0,medium,3,89
2,82,0,medium,3,23
2,124,0,medium,3,11
2,124,1,medium,28,84
2,82,0,medium,3,54
2,124,1,medium,3,17
2,124,1,low,7,1
2,124,0,low,1,73
0,17,0,high,3,36
2,124,1,low,2,98
3,5,1,low,1,63
2,123,1,low,5,2
2,12,1,low,5,18
2,124,1,low,3,24
2,45,1,low,3,1
2,124,1,low,1,2
2,124,0,medium,14,23
2,12,1,low,2,93
2,124,1,low,3,0
0,84,1,medium,3,0
0,78,0,high,5,152
2,81,0,medium,1,119
2,82,0,medium,4,9
0,44,1,medium,2,44
2,79,1,low,2,158
0,190,0,medium,7,12
0,190,0,low,3,51
0,17,0,high,1,0
0,17,0,medium,2,11
2,124,0,medium,3,236
2,45,1,medium,3,16
2,116,1,low,5,123
0,17,1,low,3,14
2,82,1,medium,14,65
4,85,1,low,1,50
0,44,1,low,3,33
0,44,1,low,3,30
2,12,1,low,3,13
0,17,0,medium,30,18
2,123,0,high,4,1
0,190,1,low,3,216
3,54,1,low,2,98
2,158,1,medium,2,61
0,3,0,low,30,13
0,16,1,low,3,136
2,12,0,medium,2,39
0,114,0,medium,14,65
2,74,0,low,3,62
0,44,1,medium,3,47
2,116,0,medium,2,42
2,124,1,low,3,207
2,176,1,low,4,72
2,82,1,low,14,22
0,44,0,medium,30,25
2,109,0,medium,2,215
2,124,0,high,4,26
0,55,0,high,5,18
0,83,0,medium,3,18
2,124,0,high,2,320
2,124,1,low,2,160
0,114,1,medium,2,78
0,17,0,high,30,64
2,124,1,low,2,219
0,84,1,medium,1,66
2,124,0,medium,3,25
0,84,0,high,4,102
0,84,0,medium,2,32
2,211,1,medium,3,15
0,16,0,medium,5,1
0,77,0,medium,3,12
0,218,0,high,10,19
0,17,0,medium,3,297
2,123,0,medium,3,12
2,79,0,high,4,9
0,193,0,high,15,9
0,53,1,low,7,46
2,124,1,low,4,42
0,122,1,low,2,118
2,124,0,high,30,53
0,44,1,low,1,15
2,150,0,medium,3,64
2,150,0,medium,3,51
2,150,0,medium,3,79
0,44,1,medium,3,202
0,17,0,high,1,23
0,122,1,low,6,62
0,17,0,low,2,36
0,84,0,medium,1,16
0,122,0,high,4,24
0,44,1,low,2,77
0,122,1,low,5,110
0,44,1,low,1,56
0,114,1,medium,1,7
0,118,1,medium,21,0
2,18,0,low,18,19
0,56,1,medium,3,7
0,3,0,medium,1,53
0,16,0,medium,3,265
2,124,1,medium,5,0
2,107,0,medium,30,8
2,123,0,medium,14,46
2,107,0,medium,5,6
0,208,0,high,4,75
2,166,1,low,5,11
0,84,1,low,3,5
0,193,0,medium,3,132
0,16,0,medium,6,41
2,166,1,low,7,34
2,123,0,medium,3,34
0,218,0,medium,7,27
2,124,1,low,4,30
